epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,155.97,1.43045,3.61528,0.01766,0.38154,0.3582,0.31531,0.15944,1.53584,2.6741,0.02507,0.00997481,0.00332494,0.00997481,0.00332494,0.00997481,0.00332494,0.00997481,0.00332494
2,275.547,1.41968,2.57913,0.01737,0.41707,0.45099,0.38732,0.19133,1.58279,1.92022,0.02583,0.0199736,0.00665786,0.0199736,0.00665786,0.0199736,0.00665786,0.0199736,0.00665786
3,383.332,1.49282,2.29293,0.01863,0.52147,0.44321,0.43686,0.2013,1.7367,1.8316,0.02938,0.0299675,0.00998916,0.0299675,0.00998916,0.0299675,0.00998916,0.0299675,0.00998916
4,486.746,1.54377,2.22363,0.0195,0.46441,0.43517,0.40654,0.20292,1.66041,1.95617,0.02817,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,590.748,1.52017,2.11845,0.01902,0.57767,0.49614,0.52244,0.2657,1.55601,1.70001,0.02488,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,694.118,1.50153,2.03503,0.0187,0.52087,0.52491,0.52425,0.27714,1.54374,1.68336,0.02445,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,798.746,1.48298,1.97579,0.01799,0.55808,0.49424,0.51885,0.28015,1.46528,1.62174,0.02303,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,901.569,1.47261,1.92918,0.01807,0.61898,0.55914,0.58081,0.30956,1.49075,1.46959,0.02344,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1006.23,1.46103,1.88396,0.01773,0.61839,0.5411,0.57499,0.30971,1.48025,1.61983,0.02402,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1108.61,1.45049,1.84922,0.01764,0.60373,0.59695,0.61669,0.33477,1.44856,1.42226,0.02236,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1214.41,1.43417,1.82559,0.01753,0.61103,0.56751,0.5782,0.32364,1.47916,1.45602,0.02247,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1317.51,1.43519,1.81173,0.01732,0.57433,0.58652,0.56909,0.31391,1.4735,1.52408,0.02386,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,1420.49,1.42531,1.77273,0.01713,0.65677,0.61843,0.64094,0.33872,1.49251,1.3691,0.02337,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,1523.59,1.42122,1.74718,0.01713,0.66662,0.57624,0.61951,0.34237,1.44662,1.42417,0.02269,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,1626.03,1.3932,1.70568,0.01675,0.71884,0.5671,0.6567,0.37145,1.38649,1.36596,0.02159,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,1729.4,1.40081,1.69996,0.01664,0.70808,0.59838,0.67329,0.37736,1.43452,1.29759,0.02349,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,1832.54,1.39038,1.67114,0.01678,0.67757,0.64264,0.64788,0.3783,1.35891,1.32735,0.02084,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,1934.5,1.38318,1.65827,0.0168,0.6698,0.63186,0.63747,0.36443,1.40888,1.33138,0.02219,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,2037.45,1.3748,1.62057,0.01658,0.67881,0.61334,0.65202,0.37482,1.37393,1.32694,0.02092,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,2139.54,1.36476,1.60508,0.01627,0.70964,0.63739,0.66762,0.38253,1.41114,1.31257,0.02239,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,2241.66,1.37019,1.60314,0.01621,0.69904,0.64033,0.67734,0.3889,1.37941,1.31476,0.02135,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,2344.16,1.35881,1.60246,0.01614,0.69406,0.65878,0.67971,0.39381,1.38506,1.26762,0.02162,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,2447.04,1.34687,1.56156,0.0161,0.71139,0.63606,0.68526,0.40334,1.33886,1.24577,0.02042,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,2550.74,1.34297,1.55201,0.01597,0.74911,0.651,0.69379,0.40615,1.3177,1.27711,0.0196,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,2652.56,1.34758,1.54763,0.0159,0.72529,0.66981,0.70791,0.41955,1.36222,1.18642,0.02128,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,2755.72,1.34267,1.53733,0.0158,0.68195,0.64461,0.6737,0.40347,1.3451,1.24272,0.02058,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,2859.25,1.33998,1.5182,0.01569,0.71139,0.64974,0.69641,0.41233,1.32108,1.23605,0.01977,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,2961.69,1.33373,1.50823,0.01571,0.71053,0.65901,0.69709,0.41377,1.30673,1.2447,0.02006,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,3063.55,1.33205,1.50905,0.01545,0.70851,0.68641,0.7123,0.42527,1.32066,1.14655,0.02013,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,3165.84,1.32255,1.48022,0.01544,0.72692,0.67939,0.69705,0.4236,1.33014,1.20255,0.02026,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,3268.36,1.31869,1.46345,0.01553,0.67981,0.66121,0.67844,0.39975,1.36525,1.26725,0.02111,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,3370.51,1.31358,1.46129,0.01512,0.71687,0.64419,0.68594,0.40737,1.29874,1.26695,0.0195,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,3473.05,1.3012,1.44294,0.01523,0.73077,0.66268,0.71718,0.43333,1.31723,1.19476,0.02046,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,3575.6,1.30205,1.44149,0.01535,0.71369,0.65752,0.71167,0.4295,1.28345,1.22343,0.01953,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,3678.62,1.29009,1.4156,0.01506,0.70699,0.65624,0.68378,0.41547,1.26379,1.22001,0.01916,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,3780.87,1.29867,1.42785,0.01506,0.75141,0.65009,0.71701,0.4399,1.26214,1.17005,0.01869,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,3883.51,1.30251,1.42864,0.01513,0.71705,0.66624,0.70483,0.43878,1.24368,1.20732,0.019,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,3985.94,1.29482,1.41342,0.01511,0.71556,0.70831,0.71676,0.43151,1.29475,1.16996,0.01977,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,4088.43,1.28374,1.39697,0.01493,0.76863,0.66756,0.72151,0.44216,1.26723,1.17856,0.01935,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,4190.67,1.28182,1.38508,0.01489,0.74862,0.67853,0.71142,0.4313,1.30926,1.21179,0.01993,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,4292.79,1.28389,1.38611,0.01495,0.72387,0.69628,0.71828,0.43563,1.31059,1.18747,0.02004,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,4394.86,1.28334,1.38559,0.01503,0.73331,0.68195,0.71425,0.44258,1.30072,1.16466,0.01967,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,4497.45,1.27049,1.35746,0.01485,0.71293,0.67997,0.71294,0.43961,1.24146,1.18013,0.01854,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,4600.26,1.27179,1.37126,0.01479,0.73233,0.65719,0.70158,0.43897,1.26392,1.19813,0.01912,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,4702.82,1.25813,1.34802,0.01466,0.71108,0.65977,0.70276,0.43448,1.28601,1.19365,0.01925,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,4805.77,1.27083,1.35462,0.01456,0.74648,0.6917,0.71884,0.45169,1.25213,1.18046,0.01896,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,4909.09,1.26303,1.32319,0.01446,0.78525,0.67097,0.73377,0.44731,1.27814,1.15871,0.01906,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,5012.24,1.25713,1.34733,0.01458,0.755,0.68069,0.72537,0.45222,1.22086,1.1694,0.01799,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,5115.08,1.24961,1.31958,0.01443,0.74644,0.69201,0.72555,0.45477,1.24818,1.20388,0.0186,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,5217.71,1.25271,1.31221,0.0143,0.73909,0.67632,0.71807,0.45749,1.22492,1.24305,0.01877,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,5320.87,1.25347,1.30879,0.01453,0.70947,0.6847,0.71713,0.44787,1.24297,1.17723,0.01853,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,5423.73,1.25317,1.3102,0.01444,0.71405,0.68909,0.69814,0.4347,1.25118,1.18597,0.01873,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,5526.64,1.24379,1.30905,0.01423,0.75309,0.66473,0.70676,0.43801,1.27157,1.15038,0.01926,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,5629.52,1.23878,1.28661,0.01431,0.77212,0.67823,0.72799,0.46311,1.19548,1.13554,0.01765,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,5732.1,1.23275,1.2864,0.01423,0.74794,0.68715,0.74057,0.46384,1.24928,1.10931,0.01912,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,5834.84,1.23711,1.28149,0.01421,0.74862,0.71231,0.73745,0.4698,1.23969,1.15369,0.01874,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,5937.33,1.2279,1.26903,0.0141,0.76516,0.69377,0.71674,0.4602,1.2347,1.14247,0.01855,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,6040.01,1.22175,1.26957,0.01413,0.74453,0.69673,0.71921,0.46267,1.2243,1.19746,0.01889,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,6143.23,1.2259,1.25964,0.01401,0.739,0.68712,0.72143,0.46119,1.20071,1.21698,0.01763,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,6246.73,1.22588,1.25596,0.01423,0.77509,0.69276,0.73476,0.47724,1.16266,1.14844,0.01683,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,6350.48,1.22487,1.23664,0.01411,0.74005,0.69595,0.7197,0.45884,1.2254,1.14141,0.01809,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,6453.27,1.21463,1.22704,0.0139,0.72496,0.72673,0.71597,0.45723,1.21726,1.16809,0.01809,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,6556.73,1.21127,1.23163,0.01384,0.76409,0.70717,0.73322,0.4676,1.20216,1.13695,0.01788,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,6659.39,1.20938,1.21874,0.01391,0.73884,0.73307,0.74037,0.46663,1.21026,1.09511,0.01772,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,6762.08,1.21283,1.23005,0.01388,0.76542,0.71417,0.7412,0.47701,1.20157,1.11409,0.0178,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,6864.83,1.20956,1.20546,0.01388,0.74968,0.70349,0.73169,0.47911,1.18528,1.13104,0.01747,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,6967.32,1.2072,1.22098,0.01388,0.73994,0.69741,0.73021,0.47779,1.18533,1.11231,0.01727,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,7070.5,1.19973,1.21372,0.01369,0.75595,0.70709,0.73906,0.48151,1.1605,1.10579,0.01666,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,7173.79,1.19471,1.21101,0.01373,0.73312,0.7042,0.72861,0.47714,1.19291,1.12032,0.0175,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
