epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,396.743,1.51354,2.86948,0.01916,0.49638,0.49215,0.4746,0.24256,1.57116,1.62849,0.02491,0.00998741,0.00332914,0.00998741,0.00332914,0.00998741,0.00332914,0.00998741,0.00332914
2,671.744,1.47108,2.04145,0.01836,0.58502,0.5245,0.55114,0.2795,1.62917,1.59152,0.02793,0.0199862,0.00666206,0.0199862,0.00666206,0.0199862,0.00666206,0.0199862,0.00666206
3,1030.77,1.52305,2.04095,0.0195,0.64803,0.43941,0.51617,0.25447,1.6842,1.72759,0.03073,0.0299801,0.00999336,0.0299801,0.00999336,0.0299801,0.00999336,0.0299801,0.00999336
4,1334.03,1.55467,2.06393,0.01992,0.59569,0.51043,0.54133,0.27654,1.63083,1.57209,0.02951,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,1531.54,1.51707,1.95917,0.01915,0.62341,0.50394,0.55989,0.2833,1.51857,1.4812,0.02677,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1735.64,1.48703,1.89324,0.01854,0.57395,0.59865,0.58664,0.32026,1.42655,1.43379,0.02413,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,1980.23,1.46052,1.84509,0.01789,0.65652,0.57253,0.60828,0.33937,1.43512,1.42363,0.02385,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,2299.61,1.45121,1.78852,0.01797,0.64533,0.55345,0.611,0.34678,1.42976,1.3924,0.0244,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,2638.62,1.43077,1.75823,0.01764,0.717,0.54951,0.63405,0.36431,1.39829,1.34534,0.02372,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,2983.19,1.40986,1.70729,0.01747,0.65287,0.60282,0.62957,0.36499,1.3518,1.32369,0.0222,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,3321.16,1.39642,1.69038,0.01722,0.67269,0.58899,0.63427,0.36385,1.37178,1.34087,0.02293,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,3660.78,1.37836,1.66573,0.01695,0.6431,0.62997,0.65723,0.39202,1.31553,1.28866,0.02208,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,4001.47,1.37149,1.6369,0.01658,0.6755,0.61387,0.66009,0.39267,1.28841,1.27282,0.02093,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,4237.96,1.36148,1.60993,0.01651,0.70344,0.62285,0.67898,0.40954,1.31113,1.20464,0.02134,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,4408.61,1.33933,1.58467,0.01636,0.67266,0.65645,0.68772,0.41394,1.25006,1.16709,0.02028,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,4578.93,1.33332,1.5499,0.01609,0.68413,0.62527,0.67242,0.40794,1.29857,1.21239,0.02063,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,4749.07,1.32775,1.54329,0.01628,0.74239,0.6036,0.68737,0.4118,1.27561,1.20136,0.02108,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,4917.74,1.3189,1.5075,0.01594,0.71394,0.65496,0.70031,0.42727,1.26215,1.19853,0.02035,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,5086.34,1.30564,1.4765,0.01576,0.67701,0.6606,0.66746,0.39225,1.31258,1.21556,0.02197,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,5256.16,1.29988,1.4692,0.01547,0.71306,0.64688,0.69437,0.43125,1.23472,1.18112,0.01972,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,5425.83,1.29117,1.44732,0.01538,0.71359,0.67313,0.7173,0.4326,1.29491,1.15047,0.02125,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,5596.05,1.29007,1.4339,0.01524,0.75557,0.63848,0.71333,0.45522,1.23232,1.1254,0.01992,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,5766.62,1.27524,1.4181,0.01511,0.69922,0.66249,0.70004,0.42729,1.27771,1.15795,0.02039,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,5937.16,1.27071,1.40234,0.01506,0.72692,0.66809,0.7184,0.43839,1.25281,1.18451,0.0201,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,6106.1,1.26975,1.39078,0.01514,0.73882,0.66457,0.71114,0.44221,1.24221,1.19732,0.02008,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,6274.75,1.25695,1.3641,0.01495,0.69251,0.69105,0.70179,0.43589,1.22235,1.17578,0.01963,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,6445.24,1.24286,1.34509,0.01449,0.71502,0.69058,0.69385,0.42244,1.27327,1.14845,0.02112,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,6615.81,1.23984,1.34006,0.01468,0.71721,0.68752,0.71709,0.44526,1.22629,1.12496,0.01968,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,6786.78,1.23704,1.31748,0.01451,0.72108,0.69847,0.72085,0.44033,1.25385,1.15362,0.02114,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,6956.73,1.23765,1.31219,0.01462,0.77015,0.67082,0.71923,0.45646,1.21161,1.13432,0.01918,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,7125.54,1.22496,1.2831,0.01441,0.7628,0.64794,0.71373,0.44177,1.23677,1.13726,0.02041,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,7295.76,1.21864,1.2734,0.01433,0.74809,0.68419,0.72056,0.4457,1.22879,1.11818,0.01911,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,7466.97,1.20605,1.26824,0.01414,0.7438,0.6906,0.72329,0.45625,1.21508,1.12029,0.01919,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,7636.84,1.20663,1.24931,0.01423,0.70281,0.68193,0.70124,0.43531,1.2245,1.1703,0.01971,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,7806.53,1.20548,1.24435,0.01397,0.73717,0.67133,0.72415,0.45536,1.21867,1.13508,0.02039,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,7975.89,1.19902,1.23111,0.01396,0.70022,0.6975,0.71602,0.45766,1.18574,1.08408,0.01898,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,8144.42,1.19793,1.22479,0.01399,0.75201,0.68338,0.73325,0.45345,1.20596,1.09977,0.01942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,8314.86,1.19327,1.21225,0.014,0.74478,0.68231,0.72152,0.45436,1.18892,1.11583,0.01893,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,8484.97,1.1772,1.2002,0.01387,0.72133,0.70117,0.72462,0.45625,1.20881,1.11215,0.01888,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,8655.49,1.18237,1.17561,0.01365,0.73999,0.68168,0.71622,0.46604,1.1717,1.11843,0.0185,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,8824.09,1.18418,1.18616,0.01385,0.75644,0.6957,0.7367,0.46981,1.21456,1.09589,0.01912,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,8994.28,1.17041,1.17842,0.0138,0.71967,0.69083,0.71594,0.47028,1.16919,1.1572,0.01866,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,9164.25,1.17394,1.16884,0.01367,0.75684,0.6653,0.70177,0.46042,1.15016,1.11179,0.01792,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,9334.12,1.16846,1.15764,0.0135,0.73367,0.69441,0.72442,0.46482,1.17415,1.08953,0.01849,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,9502.91,1.1619,1.15341,0.01343,0.73315,0.70254,0.71498,0.47184,1.192,1.11952,0.01851,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,9672.63,1.15765,1.15083,0.0133,0.74127,0.69346,0.73371,0.47569,1.15618,1.09837,0.01789,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,9842.48,1.14762,1.12285,0.01316,0.76671,0.70928,0.74624,0.47982,1.16817,1.09364,0.01838,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,10012.7,1.14628,1.09696,0.01334,0.74958,0.70612,0.73826,0.485,1.13972,1.10705,0.0177,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,10183.4,1.14409,1.11657,0.01305,0.7451,0.69066,0.7225,0.47149,1.15877,1.12474,0.01778,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,10353.5,1.13501,1.08759,0.01288,0.74597,0.6912,0.71359,0.45979,1.16074,1.11994,0.01827,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,10522.4,1.13658,1.10812,0.01303,0.77687,0.70471,0.73896,0.47733,1.17618,1.09372,0.0183,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,10691.4,1.13002,1.09684,0.01295,0.76297,0.70481,0.73712,0.4842,1.13628,1.08601,0.01753,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,10860.7,1.12707,1.09148,0.01301,0.76281,0.69179,0.73133,0.47514,1.15901,1.07017,0.01815,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,11030.9,1.11783,1.06133,0.01284,0.7756,0.67444,0.72556,0.47458,1.16704,1.11537,0.01807,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,11201.2,1.12127,1.06623,0.01281,0.75005,0.68349,0.72096,0.47088,1.15201,1.08279,0.01787,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,11371.4,1.11452,1.06651,0.01274,0.76428,0.696,0.72724,0.47859,1.14574,1.06781,0.01785,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,11542.2,1.11088,1.04679,0.01275,0.73989,0.70869,0.72081,0.48079,1.13474,1.11151,0.01757,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,11712.4,1.10059,1.03698,0.01266,0.78372,0.69144,0.72594,0.4783,1.16055,1.09238,0.01827,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,11881.2,1.09807,1.03408,0.01259,0.74841,0.71155,0.72851,0.47642,1.13163,1.0868,0.01762,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,12051.7,1.10278,1.04174,0.0127,0.75111,0.71217,0.73791,0.48857,1.12187,1.07281,0.01736,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,12222.8,1.10194,1.03023,0.01257,0.75782,0.69049,0.72904,0.4817,1.13143,1.10614,0.01722,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,12392.6,1.08548,1.01065,0.01244,0.74526,0.72019,0.73071,0.48061,1.14846,1.07283,0.01768,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,12562,1.07592,1.01529,0.01238,0.75999,0.70585,0.72237,0.47205,1.13506,1.11007,0.01748,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,12730.1,1.07915,1.00146,0.01234,0.76733,0.70906,0.74612,0.48581,1.12913,1.09758,0.0173,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,12900.9,1.08438,1.0052,0.01245,0.78614,0.69095,0.73907,0.48929,1.15628,1.07087,0.0178,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,13071.4,1.07767,0.98646,0.0123,0.75572,0.70729,0.72437,0.48592,1.12912,1.13526,0.01729,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,13241.2,1.06889,0.99438,0.01227,0.77357,0.70228,0.74112,0.50173,1.08726,1.08953,0.01638,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,13409.8,1.06505,0.99823,0.01208,0.74773,0.73173,0.74192,0.49756,1.13429,1.062,0.01777,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,13579.8,1.07019,0.98581,0.01223,0.74794,0.71661,0.73871,0.4993,1.11958,1.10439,0.01685,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,13749.7,1.06013,0.97114,0.01204,0.74226,0.71709,0.73821,0.50072,1.12138,1.12032,0.01715,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,13919.4,1.05266,0.96545,0.01195,0.7182,0.72309,0.73472,0.49772,1.12725,1.11288,0.01711,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,14089.9,1.06165,0.98026,0.012,0.76843,0.70865,0.73376,0.49316,1.12326,1.09957,0.01714,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,14258.9,1.05228,0.96677,0.01193,0.755,0.71907,0.7377,0.4899,1.1319,1.07214,0.01703,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,14428.1,1.04989,0.95724,0.01194,0.76786,0.71606,0.74515,0.49956,1.10683,1.11098,0.01673,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,14598.7,1.04565,0.94965,0.01182,0.77038,0.71967,0.74533,0.49886,1.11015,1.11867,0.01723,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
